phase,event,planned_onset,planned_offset,true_onset,true_offset
practice,iti0,0,2,,
practice,stim1,2,8,,
practice,iti1,8,16,,
practice,stim2,16,22,,
practice,iti2,22,30,,
practice,stim3,30,36,,
practice,iti3,36,40,,
practice2,iti0,0,4,,
practice2,pre1,4,6,,
practice2,stim1,6,10.5,,
practice2,post1,10.5,12,,
practice2,iti1,12,16,,
practice2,pre2,16,18,,
practice2,stim2,18,22.5,,
practice2,post2,22.5,24,,
practice2,iti2,24,28,,
practice2,pre3,28,30,,
practice2,stim3,30,34.5,,
practice2,post3,34.5,36,,
practice2,iti3,36,40,,
