fear1_proc,fear1_shock,fear2_proc,fear2_shock,ext1_proc,ext2_proc,renewal_proc,mem1_proc,mem1_oldnew,mem2_proc,mem2_oldnew,mem3_proc,mem3_oldnew,mem4_proc,mem4_oldnew,day1_block,day2_stim_block,day1_animals,day1_tools,day1_food,renewal_animals,renewal_tools,renewal_food,day2_foil_block,foil_animals,foil_tools,foil_food
CS+E,CSUS,CS+E,CSUS,CS+E,CS-,CS-,CS+E,old,CS+E,old,CS-,new,CS+E,old,1,1,stims/animals/angelfish.jpg,stims/tools/airpump.jpg,stims/food/acaiberries.jpg,stims/animals/aardvark.jpg,stims/tools/beaker.jpg,stims/food/potato.jpg,1,stims/animals/armadillo.jpg,stims/tools/anvil.jpg,stims/food/asparagus.jpg
CS+,CSUS,CS+,CSUS,CS+,CS+,CS+,CS+,old,CS+,old,CS+,old,CS-,new,1,2,stims/animals/assassinbug.jpg,stims/tools/beadingtool.jpg,stims/food/almonds.jpg,stims/animals/ant.jpg,stims/tools/blackboard.jpg,stims/food/longbeans.jpg,2,stims/animals/balloonfish.jpg,stims/tools/battery.jpg,stims/food/avocado.jpg
CS-,CS,CS-,CS,CS-,CS+E,CS+E,CS-,old,CS-,new,CS+E,old,CS+,old,1,3,stims/animals/boar.jpg,stims/tools/bucket.jpg,stims/food/chard.jpg,stims/animals/anteater.jpg,stims/tools/broom.jpg,stims/food/lemon.jpg,3,stims/animals/bullfrog.jpg,stims/tools/burnisher.jpg,stims/food/bagel.jpg
CS-,CS,CS+E,CS,CS+,CS-,CS-,CS+,new,CS+E,old,CS+,old,CS-,old,1,4,stims/animals/canary.jpg,stims/tools/campingstove.jpg,stims/food/cucumber.jpg,stims/animals/baldeagle.jpg,stims/tools/electricbreaker.jpg,stims/food/chips.jpg,4,stims/animals/caracal.jpg,stims/tools/carabiner.jpg,stims/food/baguette.jpg
CS+,CS,CS+,CSUS,CS+E,CS+E,CS+E,CS+E,old,CS-,old,CS+E,new,CS+E,new,1,1,stims/animals/caterpillarhawkmoth.jpg,stims/tools/chainsaw.jpg,stims/food/bokchoy.jpg,stims/animals/caterpillarpeacockmoth.jpg,stims/tools/gardenhose.jpg,stims/food/raspberry.jpg,1,stims/animals/clownfish.jpg,stims/tools/clamp.jpg,stims/food/bananas.jpg
CS+E,CSUS,CS-,CS,CS-,CS+,CS+,CS-,old,CS+,new,CS-,old,CS+,old,1,2,stims/animals/cricket.jpg,stims/tools/duffelbag.jpg,stims/food/chives.jpg,stims/animals/cow.jpg,stims/tools/hairdryer.jpg,stims/food/redbellpepper.jpg,2,stims/animals/cod.jpg,stims/tools/clippers.jpg,stims/food/branflakes.jpg
CS+E,CS,CS-,CS,CS-,CS+,CS-,CS-,new,CS+,old,CS+E,old,CS+E,new,1,3,stims/animals/dramaderry.jpg,stims/tools/extensioncord.jpg,stims/food/dates.jpg,stims/animals/crow.jpg,stims/tools/levelmount.jpg,stims/food/plum.jpg,3,stims/animals/crane.jpg,stims/tools/crank.jpg,stims/food/braziliannuts.jpg
CS+,CS,CS+,CS,CS+,CS-,CS+E,CS+,old,CS-,old,CS-,old,CS+,new,1,4,stims/animals/flamingo.jpg,stims/tools/gong.jpg,stims/food/driedapricot.jpg,stims/animals/dragonfly.jpg,stims/tools/mallet.jpg,stims/food/veggiestraws.jpg,4,stims/animals/deer.jpg,stims/tools/cuttingboard.jpg,stims/food/brusselsprouts.jpg
CS-,CS,CS+E,CS,CS+E,CS+E,CS+,CS+E,old,CS+E,new,CS+,old,CS-,old,1,1,stims/animals/giraffe.jpg,stims/tools/hammer.jpg,stims/food/edamame.jpg,stims/animals/duck.jpg,stims/tools/measuringdevice.jpg,stims/food/pumpkin.jpg,1,stims/animals/dove.jpg,stims/tools/duster.jpg,stims/food/butternutsquash.jpg
CS+E,CSUS,CS-,CS,CS-,CS+E,CS+E,CS+,old,CS+,new,CS-,new,CS-,old,1,2,stims/animals/halibut.jpg,stims/tools/measuringcups.jpg,stims/food/crackers.jpg,stims/animals/flea.jpg,stims/tools/measuringtape.jpg,stims/food/tomato.jpg,2,stims/animals/earthworm.jpg,stims/tools/electricdrill.jpg,stims/food/cabbage.jpg
